#InfiniteKusama,Tweet Text,URL
Kusama,.@hirshhorn My favorite part of #infinitekusama @hirshhorn was @The_OA looking Room. @lauraf_out_loud @Spectacles https://t.co/oIfB6yRdwD,
Kusama,#InfiniteKusama ⚽️💓 https://t.co/fhlwEgkUnz https://t.co/cZsOcfyTjD,http://ift.tt/2nJCqZY
Kusama,Thanks @hirshhorn for a beautiful day! #infinitekusama https://t.co/drCb3xP07r,
Kusama,One last collage from #infinitymirrors.#infinitekusama #dc #art… https://t.co/oz1EOgEXIb,https://www.instagram.com/p/BSXHEDmFr0dUp194j-TmvDMrq4MBHcUZl6uizk0/
Kusama,"Still haven't been to #kusama, but I have been to the San Francisco airport. | #walkwithlocals #infinitekusama #ar…… https://t.co/fUboo5QEQ7",https://twitter.com/i/web/status/848306179491155969
Kusama,#infinitekusama. Part 1 of my blog post on the Infinity Mirrors exhibit. https://t.co/15PKXa1oDW https://t.co/7EMvn4T2AF,https://thecatalystwriter.blogspot.com/2017/04/yayoi-kusama-infinity-mirrors-life.html
Kusama,More from today's #infinitymirrors exhibit. #infinitekusama #dc #art… https://t.co/o9qys6Sk2U,https://www.instagram.com/p/BSXCL8dlygwkSNcjCJlkm1Us66siRRjx5UjpiE0/
Kusama,"#infinitekusama . The very popular ""Infinity Pumpkins Mirror room "" from the Kusama exhibit, Hirshhorn Museum, Wash… https://t.co/QZ3mygiqpX",https://twitter.com/i/web/status/848297259800440832
Kusama,"Communal Obliteration.
.
#infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/UqbcfBwZoG",https://www.instagram.com/p/BSW-jzQFpTk/
Kusama,"""...And in that moment, we were infinite."" #infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/hDxN8C6ezN",https://www.instagram.com/p/BSW-bFFFK4_/
Kusama,Finally made it to @hirshhorn #infinitekusama https://t.co/6sTwkgyGrZ,
Kusama,https://t.co/Bf8ryIV0QZ #InfiniteKusama #Hirshhorn,https://medium.com/@Inkfacefahz/trapping-infinity-in-a-hashtag-8f7ce4c3d735
Kusama,Tourist #yayoikusama #infinitekusama #washingtondc #btgdc @ Hirshhorn Museum and Sculpture Garden https://t.co/XnmVN6dD5A,https://www.instagram.com/p/BSW7l9JjArw/
Kusama,"#infinitekusama  The Infinity Mirrors at Hirshhorn was as promised ""an unforgettable sensory experience."" https://t.co/g9Fg5qisvA",
Kusama,#InfiniteKusama ended with a bang! Nice work @hirshhorn #DC. https://t.co/MnuthDwL63,
Kusama,#infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/0Du2HsSTPz,https://www.instagram.com/p/BSW0uN8j_eN/
Kusama,RT @MariManoog: Loved visiting @hirshhorn to see #infinitekusama last weekend! #SmithsonianPatterns https://t.co/qPfvHhYwJG,
Kusama,RT @ajohnsru: Happy we were able to experience #InfiniteKusama @hirshhorn https://t.co/7ezV1UFNDw,
Kusama,.@hirshhorn #InfiniteKusama https://t.co/eP3QaCBoeM,
Kusama,.@hirshhorn Dots obsession! #InfiniteKusama https://t.co/edPwaWgpfh,
Kusama,#infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/D9a3I1ZF6p,https://www.instagram.com/p/BSWxDWLAP0c/
Kusama,.@hirshhorn #InfiniteKusama https://t.co/Qpenr7ZKqF,
Kusama,.@hirshhorn #InfiniteKusama https://t.co/ubikIHGkM0,
Kusama,#infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/oj2tTibPzd,https://www.instagram.com/p/BSWtpv1gJng/
Kusama,2nd time trying to register for @APSExtendedDay. Feels like trying for @hirshhorn #infinitekusama tickets again... #reload #reload #reload,
Kusama,RT @HighMuseumofArt: #Atlanta: save the date to see Yayoi Kusama's amazing exhibition at the High in 2018! #infinitekusama https://t.co/ZRb…,
Kusama,"Infinite Mirrors!!! Finally!!! #infinitekusama (at @Hirshhorn Museum and Sculpture Garden in Washington, DC) https://t.co/tFApjbHU7N",https://www.swarmapp.com/c/iY7UX41N0cR
Kusama,The latest Chicago Leisure Group Daily! https://t.co/NUmoxU83Qp Thanks to @AmtrakVacations @Millennium_Park #infinitekusama,http://paper.li/HOCLeisure?edition_id=9de43850-170e-11e7-ab87-0cc47a0d1605
Kusama,It's happening! Finally checking out #InfiniteKusama @hirshhorn. https://t.co/yfrHOhP859,
Kusama,Finally at @hirshhorn to see Yayoi Kusama's exhibition. It's enthralling! A feast for the senses. #infinitekusama https://t.co/SH4Lag3Vqi,
Kusama,The polka dot invasion continues. #infinitekusama #infinitymirrors #nofilter @ Hirshhorn Museum… https://t.co/X1TwG3CiUk,https://www.instagram.com/p/BSWlTrWDHsk/
Kusama,I love pumpkins now. #infinitekusama #infinitymirrors #nofilter @ Hirshhorn Museum and Sculpture… https://t.co/eC6gSp2o6z,https://www.instagram.com/p/BSWkwPADIsM/
Kusama,Felt like I was in space. #infinitekusama #infinitymirrors @ Hirshhorn Museum and Sculpture Garden https://t.co/VeCMfEnDQ4,https://www.instagram.com/p/BSWkR34jRsK/
Kusama,"RT @CPNAS: Yayoi Kusama celebrates her 88th birthday today. She references infinity, disease and biology in her artwork. 🎨#infinitekusama #…",
Kusama,#infinitekusama https://t.co/AZebliYHgU,
Kusama,Flash Domo becomes one with the art. (Obliteration Room) #infinitekusama @ Hirshhorn Museum and… https://t.co/fFJ1DCZnTF,https://www.instagram.com/p/BSWeeUEBr0Z/
Kusama,Flash Domo feels so small and unseen. (Aftermath of Obliteration of Eternity) #infinitekusama @… https://t.co/Z9hZ5DYgJ5,https://www.instagram.com/p/BSWd4ZNBL3A/
Kusama,"RT @artsy: Immerse yourself in one of Yayoi Kusama’s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama http…",
Kusama,Flash Domo has the urge to reach out. (Life (Repetitive Vision)) #infinitekusama @ Hirshhorn… https://t.co/NkcVn5WXIU,https://www.instagram.com/p/BSWaJwwhrx0/
Kusama,#infinitekusama https://t.co/R2ZELLovtr,
Kusama,Saturday at the Hirshhorn   #InfiniteKusama https://t.co/hMRyFiIc6R,
Kusama,#infinitekusama https://t.co/GD3XtX6xxv,
Kusama,Flash Domo sees a colorful galaxy. (The Souls of Millions of Light Years Away) #infinitekusama @… https://t.co/0qtVN59egd,https://www.instagram.com/p/BSWZB6PBJu5/
Kusama,#infinitekusama https://t.co/2Kf8BY5ILU,
Kusama,RT @hirshhorn: Enter legendary artist Yayoi Kusama’s infinite world https://t.co/VbonV7xQW3 #InfiniteKusama,http://www.cbsnews.com/news/yayoi-kusama-exhibit-dc-hirshhorn-museum-infinity-mirrors
Kusama,"@hirshhorn #infinitekusama flashing, lights, lights, lights #art #museum #dc #smithsonian @… https://t.co/lU1ltrIRaX",https://www.instagram.com/p/BSWXkfCjJL1/
Kusama,#infinitekusama https://t.co/RyTXswpSsP,
Kusama,RT @ajohnsru: Happy we were able to experience #InfiniteKusama @hirshhorn https://t.co/7ezV1UFNDw,
Kusama,".@hirshhorn came prepared to bask in the glory of the #infinitekusama exhibit. I now have a girl crush on her, can… https://t.co/uiUhJGhojW",https://twitter.com/i/web/status/848206149119877120
Kusama,Flash Domo feels a certain connection to this one. (Accumulation of Stardust) #infinitekusama @… https://t.co/wKJTPlikc0,https://www.instagram.com/p/BSWVIkMBogw/
Kusama,Flash Domo feels like dancing to a funky disco beat. (Love Forever) #infinitekusama @ Hirshhorn… https://t.co/qklFZOC18I,https://www.instagram.com/p/BSWU7MPhcTK/
Kusama,Flash Domo has never seen so many phalli all at once. (Phalli's Field) #infinitekusama @… https://t.co/uy3TVfRP3e,https://www.instagram.com/p/BSWUv4nBRue/
Kusama,"#InfiniteKusama same-day walk-up passes have all been claimed for today, April 1. https://t.co/QVQ1ebgv1n",https://hirshhorn.si.edu/kusama/visitor-info/
Kusama,"RT @hirshhorn: Experience Yayoi Kusama's limitless ""Infinity Mirrors"" exhibit via @CBSThisMorning https://t.co/PKvqmfQ1sG #InfiniteKusama",http://www.cbsnews.com/videos/experience-yayoi-kusamas-limitless-infinity-mirrors-exhibit
Kusama,"RT @CPNAS: Yayoi Kusama celebrates her 88th birthday today. She references infinity, disease and biology in her artwork. 🎨#infinitekusama #…",
Kusama,RT @TravelGuideDC: Yayoi Kusama - Infinity Mirrors - Hirshhorn Museum #infinitekusama #dc #travel https://t.co/bzNNS6ulNy,
Kusama,My fav pieces in the #infinitekusama exhibit are the ones with phallic objects stuck to things. Check out this boat! https://t.co/tQAk0xwOFh,
Kusama,"inner peace. #infinitekusama #5womenartists Yayoi Kusama, ""Aftermath of Obliteration of Eternity"" https://t.co/Jk9XfHFcUK",
Kusama,RT @washingtondc: To Infinity and Beyond: A Look at the Hirshhorn’s Yayoi Kusama Exhibit https://t.co/Is7Yv6SYI1 #InfiniteKusama https://t.…,http://bit.ly/2mH7K9O
Kusama,kopigreatday loved #infinitekusama @hirshhorn #familytime @ Hirshhorn Museum and Sculpture Garden https://t.co/XYi4D7q8c1,https://www.instagram.com/p/BSWKOFVgD4l/
Kusama,"RT @hirshhorn: Experience Yayoi Kusama's limitless ""Infinity Mirrors"" exhibit via @CBSThisMorning https://t.co/PKvqmfQ1sG #InfiniteKusama",http://www.cbsnews.com/videos/experience-yayoi-kusamas-limitless-infinity-mirrors-exhibit
Kusama,RT @ajohnsru: Happy we were able to experience #InfiniteKusama @hirshhorn https://t.co/7ezV1UFNDw,
